ProductID,WarehouseID,ProductSupplierID,Name,Type,Description,Weight,PackagingMaterial,Price
70,0,1,Suave Silk Protein Infusion Shampoo and Conditioner  18 oz 2 Pack,Shampoo,|https://i5.walmartimages.com/asr/9f09bde4-37ea-4171-ae5f-9a2113165c96.a92cb22b419b1fa072981f325629c7b1.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,5.98
71,3,1,Suave Essentials Ocean Breeze Refreshing Shampoo 22.5 oz,Shampoo,|https://i5.walmartimages.com/asr/6f87a4d1-926f-40a5-8e91-584f26a6d074.e1ad526b0dbb3281de28e2f9a18e468c.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,1.94
72,3,1,Alberto VO5 Kiwi Lime Clarifying amp; Nourishing Daily Hair Shampoo  with Vitamin E amp; C  15 fl oz,Shampoo,|https://i5.walmartimages.com/asr/0246b502-2491-4a0c-9684-a4d66ecdaed8.4227977b8d5b706dd8a18ce408b7a06e.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,1.12
73,3,1,Native Moisturizing Shampoo  Coconut amp; Vanilla  Sulfate amp; Paraben Free  16.5 oz,Shampoo,|https://i5.walmartimages.com/asr/b8566f62-f206-47b7-a14d-b8c5c71a8ce2.df9527ea9d847c2be9e049fa6f46a7f8.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,9.97
74,2,1,Head and Shoulders Dandruff Shampoo  Dry Scalp Care  20.7 oz,Shampoo,|https://i5.walmartimages.com/asr/0441c7d3-f967-4033-852e-277042afbb5b.6a95114811b861c19e97e189dba1c919.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,8.97
75,0,1,Suave Sun-Ripened Strawberry Energizing Shampoo 22.5 fl oz,Shampoo,|https://i5.walmartimages.com/asr/866f02ce-6457-4942-b24d-05384d8dd3b3.99c80930235b10e1474237d64ece2d59.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,1.94
76,1,1,LOreal Paris Elvive Total Repair Extreme Renewing Shampoo  28 fl oz,Shampoo,|https://i5.walmartimages.com/asr/1032c868-c60d-425d-92f6-60d1317fe836.cf2d477efb7ae203a9af054740a5e917.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,8.48
77,0,1,Herbal Essences Rose Hips Smooth Shampoo  29.2 fl oz,Shampoo,|https://i5.walmartimages.com/asr/7f9c4760-bf1f-4a21-94b9-83476def25ba.9cbe089f7ec82f74e1eef001b702c3c2.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,9.97
78,3,1,Dove Intensive Repair Strengthening Shampoo and Conditioner  12 oz 2 Count,Shampoo,|https://i5.walmartimages.com/asr/90806510-38a3-40d3-ab9a-7bf6149945ce.2fc63bd6858dd65c19b412d931101f16.jpeg?odnHeight=180odnWidth=180odnBg=FFFFFF,,Plastic,7.48
79,5,1,Tresemme 24-Hour Volume Collagen amp; Peptide Complex Shampoo 39 fl oz,Shampoo,|https://i5.walmartimages.com/asr/7742cd3c-0724-410d-b1ac-e22df3414ecb.63b8c3aaaf539d8f58f9ee26d18a860e.jpeg?odnHeight=180odnWidth=180odnBg=FFFFFF,,Plastic,7.98
80,3,1,Head and Shoulders 2 in 1 Dandruff Shampoo and Conditioner  Green Apple  20.7 oz,Shampoo,|https://i5.walmartimages.com/asr/2d486076-8197-446b-9816-6d4b7287294f.a8fed42b7e663e6fac179ba9ce1ee4af.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,8.97
81,0,1,Suave Softening Shampoo Wild Cherry Blossom  22.5 oz,Shampoo,|https://i5.walmartimages.com/asr/14c62945-d14f-4adb-9b11-214655c7037f.ddd65bd14f0e8790250b8316d3918cd5.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,1.94
82,2,1,Herbal Essences Hello Hydration Shampoo and Body Wash  29.2 fl oz,Shampoo,|https://i5.walmartimages.com/asr/328d6ffc-b1a9-4a13-bfdc-800e4f0ee5b0.4d7d3a040296176b7f6a7bedb8cceacb.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,7.97
83,3,1,Head and Shoulders 2 in 1 Dandruff Shampoo and Conditioner  Apple Cider Vinegar  12.5 oz,Shampoo,|https://i5.walmartimages.com/asr/69c3d489-f239-40e5-9b8a-319125c6c0c2.30af9a819531d7560e4a64cd2a8df593.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,5.97
84,2,1,Herbal Essences Rose Hips Smooth Shampoo  3.38 fl oz,Shampoo,|https://i5.walmartimages.com/asr/e32b092f-acd8-4b79-9fca-619ea68194bb.0bf6e6de74a4b4002b921c796d7f42cd.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,1.97
85,3,1,Garnier Whole Blends Honey Treasures Repairing Shampoo  For Damaged Hair  12.5 fl oz,Shampoo,|https://i5.walmartimages.com/asr/777c28c3-c922-4c0c-9f36-33ac1172c55d.058296042bd2ff75652646f6b5d66eb1.png?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,3.47
86,0,1,Cantu Protective Styles by Angela Hair Bath amp; Cleanser with Apple Cider Vinegar amp; Aloe  10 fl oz,Shampoo,|https://i5.walmartimages.com/asr/1f090a42-ca4d-458e-845b-48bd3b0c28cf.e0f04c007cdf639d09676029ae82c78c.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,7.97
87,3,1,Babaria Waves amp; Curls Shampoo with Anti-Frizz Control for Curly and Wavy Hair 16.9 fl. oz,Shampoo,|https://i5.walmartimages.com/asr/772a48b3-64f4-4178-bb6f-955a65f32619.3d695d86c4aa503fed0b268e3d896208.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,4.90
88,3,1,Arbol Verde Anti-Hair Loss Natural Shampoo for Men and Women  500 ml,Shampoo,|https://i5.walmartimages.com/asr/35bc37dd-c5f3-4acc-8716-2e9243b07c0d.ea7843296dab7e271dd05ba3802094c5.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,5.18
89,0,1,Kaleidoscope x Da Brat WhatChu Like Cleansing Apple Cider Vinegar Rinse 8oz,Shampoo,|https://i5.walmartimages.com/asr/31904a91-1ab7-437d-97b7-257ca2261259.dbe2f242306a183accdf02ad77870484.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,14.98
90,1,1,NaturAll (STEP 1) Wash amp; Go: Sea Moss and Chebe Shampoo,Shampoo,|https://i5.walmartimages.com/asr/cb4e7a22-9b62-4c49-bec8-0c93f866f91b.76ba94dd611dab744f6fbdbe4f0cf0fc.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,14.97
91,5,1,Nioxin System 2 Cleanser Shampoo  33.8 oz,Shampoo,|https://i5.walmartimages.com/asr/22f2b084-303e-4a4a-bfbb-9d04ee7473ca.52efda340e3dc65162482439835dbffb.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,23.99
92,1,1,Matrix Biolage ColorLast Shampoo  33.8 oz,Shampoo,|https://i5.walmartimages.com/asr/54300703-11e9-4938-a721-cd7e4396873d.5177762ceb3e01598fe293d88b825172.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,34.99
93,5,1,Ginger Lily Farms Club amp; Fitness Moisturizing Shampoo for All Hair Types  100 Vegan amp; Cruelty-Free  Citrus Scent  1 Gallon (128 fl oz) Refill,Shampoo,|https://i5.walmartimages.com/asr/dc64a883-2634-4bdf-9169-ecd6bb2f4a78.164edecd8f2e1c2d623df2c288c916ac.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,21.99
94,3,1,Pantene Pro-V Daily Moisture Renewal Shampoo  27.7 oz,Shampoo,|https://i5.walmartimages.com/asr/cf81ebfb-9d81-48f2-9297-eebcdeb5bdf0.bf7b0bfa8122a90c5b35bcb98688b57b.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,7.97
95,4,1,LOreal Paris Elvive Hyaluron Plump 72H Hydrating Shampoo  13.5 fl oz,Shampoo,|https://i5.walmartimages.com/asr/0bf6ecbb-e2c3-47de-9d03-b8d2a837b3b3.e841dc85f7436d89a4baa3d720267fbb.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,4.97
96,0,1,Cantu Anti-Dandruff Shampoo with Guava amp; Ginger  13.5 fl oz,Shampoo,|https://i5.walmartimages.com/asr/8eacc51c-774b-438a-bd4a-bdf96efbc80d.df812c5eff9ed3489169ade4809fc4bb.jpeg?odnHeight=180odnWidth=180odnBg=ffffff,,Plastic,18.99
